# type (r;w;u;1-9),class,name,comment,QQ,ZZ,PBSB,ID,field,part (m;s),type / templates,divider / values,unit,comment,field,part (m;s),type / templates,divider / values,unit,comment,field,part (m;s),type / templates,divider / values,unit,comment,field,part (m;s),type / templates,divider / values,unit,comment
# Globalfunktionen Menü,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*r,global,,,1,15,0622,,,,,,,,,,,,,,,,,,,,,,,,,
*w,global,,,1,10,0623,,,,,,,,,,,,,,,,,,,,,,,,,
w,,passwort,Globales Passwort setzen 256 04-042,,,,04aa0040,password,,UIN,,,256,,,,,,,,,,,,,,,,,,
r5;w,,uhrzeit,,,,,02c80040,time,,MIN,,,,,,,,,,,,,,,,,,,,,
r2,,sammelstoerung,Stellgröße für Sammelstörung 01-099,,,,74800000,sammelstoerung,,UCH,,,,,,,,,,,,,,,,,,,,,
r2,,smartgrid,Smart Grid Schaltzustand 02-047,,,,78800000,smartgrid,,UCH,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Warmwasser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*r,boiler,,,1,15,0622,,,,,,,,,,,,,,,,,,,,,,,,,
*w,boiler,,,1,10,0623,,,,,,,,,,,,,,,,,,,,,,,,,
r9;w,,party,Partytimer,,,,028b004e,party,,UCH,,,,,,,,,,,,,,,,,,,,,
r2;w,,control,Betriebswahl-WW-Ladung-05-050,,,,6580000e,ww_control,,UCH,0=keine_Ladung;1=Automatik;2=Normalbetrieb;3=nach_Heizbetrieb,,,,,,,,,,,,,,,,,,,,
w,,ww_temp_soll,Warmwasser-Temperatur-soll-01-004,,,,6581000e,ww_temp_soll,,temp4,,,,,,,,,,,,,,,,,,,,,
r1,,ww_temp_ist,Warmwasser-Temperatur-ist-01-004,,,,7980000e,ww_temp_ist,,temp4,,,,,,,,,,,,,,,,,,,,,
r2,,ww_temp_soll,Warmwasser-Temperatur-soll-01-004,,,,7981000e,ww_temp_soll,,temp4,,,,,,,,,,,,,,,,,,,,,
r1,,status,Status Warmwasserregelung-02-052,,,,7982000e,status_ww_regelung,,UCH,0=Abgeschaltet;1=Normal Ladebetrieb;2=Komfort Ladebetrieb;3=Zwangsdrosselung;4=Zwangsladung;5=Störung,,,,,,,,,,,,,,,,,,,,
# Heizkreis_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*r,heating,,,1,15,0622,,,,,,,,,,,,,,,,,,,,,,,,,
*w,heating,,,1,10,0623,,,,,,,,,,,,,,,,,,,,,,,,,
r2;w,,control,Betriebswahl-Heizung-03-050,,,,6383000a,heating_control,,UCH,0=Standby;1=Automatik_1;2=Automatik_2;3=Automatik_3;4=Normalbetrieb;5=Sparbetrieb;6=Sommerbetrieb;7=Handbetrieb Heizen;10=Gemäß Führungskreis;241=Unbekannt,,,,,,,,,,,,,,,,,,,,
r2;w,,room_normal,Raumtemperatur-normal-01-001,,,,6384000a,rt_normal,,temp4,,,,,,,,,,,,,,,,,,,,,
r2;w,,room_spar,Raumtemperatur-spar-03-053,,,,6385000a,rt_spar,,temp4,,,,,,,,,,,,,,,,,,,,,
r2;w,,room_behaglichkeit,Behaglichkeit 03-058,,,,6386000a,rt_behaglichkeit,,temp4,,,,,,,,,,,,,,,,,,,,,
